学号,风险分,行为偏移量,画像分类,归因结论
200307700011,0.996,-0.061,自律,综合偏差
pjvyzvfj974,1.0,0.078,自律,综合偏差
pjvyzvfj977,0.93,-0.048,自律,综合偏差
pjvyzvfj989,0.93,0.007,自律,综合偏差
pjvyzvfj994,1.0,0.118,自律,行为轨迹发生显著漂移
pjvyzvfj998,1.0,-0.057,自律,综合偏差
pjvyzxbj993,0.964,-0.118,自律,综合偏差
pjvyzxbj995,0.959,-0.038,自律,综合偏差
pjvyzxbj997,0.967,0.006,自律,综合偏差
pjvyzxbj998,0.954,-0.034,自律,综合偏差
pjwqzwbj998,1.0,0.045,自律,综合偏差
pjwrqxbj882,1.0,0.141,自律,行为轨迹发生显著漂移
pjwrqxbj884,1.0,0.088,自律,综合偏差
pjwrqxbj890,1.0,0.066,自律,综合偏差
pjwrqxbj898,0.937,-0.057,自律,综合偏差
pjwrqxbj901,0.991,0.028,自律,综合偏差
pjwrqxbj905,0.935,-0.15,自律,综合偏差
pjwrqxbj911,0.945,-0.031,自律,综合偏差
pjwrqxbj913,0.935,-0.102,自律,综合偏差
pjwrqxbj916,1.0,0.106,自律,行为轨迹发生显著漂移
pjwrqxbj918,1.0,0.151,自律,行为轨迹发生显著漂移
pjwrqxbj919,1.0,0.066,自律,综合偏差
pjwrqxbj920,1.0,0.141,自律,行为轨迹发生显著漂移
pjwrqxbj923,0.943,-0.027,自律,综合偏差
pjwrqxbj924,0.936,-0.07,自律,综合偏差
pjwrqxbj925,0.936,-0.084,自律,综合偏差
pjwrqxbj926,1.0,0.059,自律,综合偏差
pjwrqxbj929,1.0,0.074,自律,综合偏差
pjwrqxbj932,0.954,0.028,自律,综合偏差
pjwrqxbj935,0.886,-0.098,自律,综合偏差
pjwrqxbj938,0.955,0.032,自律,综合偏差
pjwrqxbj944,0.891,-0.098,自律,综合偏差
pjwrqxbj945,0.888,-0.116,自律,综合偏差
pjwrqxbj948,0.887,-0.021,自律,综合偏差
pjwrqxbj949,0.888,-0.048,自律,综合偏差
pjwrqxbj951,1.0,0.113,自律,行为轨迹发生显著漂移
pjwrqxbj952,0.882,-0.013,自律,综合偏差
pjwrqxbj955,1.0,0.059,自律,综合偏差
pjwrqxbj956,1.0,0.091,自律,综合偏差
pjwrqxbj965,0.895,-0.097,自律,综合偏差
pjwrqxbj967,0.895,-0.064,自律,综合偏差
pjwrqxbj973,0.915,-0.126,自律,综合偏差
pjwrqxbj974,1.0,0.081,自律,综合偏差
pjwrqxbj977,1.0,0.103,自律,行为轨迹发生显著漂移
pjwrqxbj978,0.888,-0.0,自律,综合偏差
pjwrqxbj979,0.898,-0.006,自律,综合偏差
pjwrqxbj980,0.897,-0.127,自律,综合偏差
pjwrqxbj983,0.898,-0.037,自律,综合偏差
pjwrqxbj984,0.892,-0.064,自律,综合偏差
pjwrqxbj985,1.0,0.148,自律,行为轨迹发生显著漂移
pjwrqxbj988,0.896,-0.032,自律,综合偏差
pjwrqxbj991,0.895,-0.147,自律,综合偏差
pjwrqxbj992,0.892,-0.078,自律,综合偏差
pjwrqxbj993,0.937,0.024,自律,综合偏差
pjwrqxbj994,0.883,-0.063,自律,综合偏差
pjwrqxbj998,1.0,0.069,自律,综合偏差
pjwrzxbj996,0.878,-0.075,自律,综合偏差
pjwtqxbj913,1.0,0.056,自律,综合偏差
pjwtqxbj914,0.931,-0.078,自律,综合偏差
pjwtqxbj918,0.875,-0.052,自律,综合偏差
pjwtqxbj920,0.883,-0.064,自律,综合偏差
pjwtqxbj921,0.975,0.044,自律,综合偏差
pjwtqxbj922,1.0,0.101,自律,行为轨迹发生显著漂移
pjwtqxbj925,0.886,-0.108,自律,综合偏差
pjwtqxbj928,0.882,-0.133,自律,综合偏差
pjwtqxbj929,0.885,-0.011,自律,综合偏差
pjwtqxbj930,0.975,0.049,自律,综合偏差
pjwtqxbj931,0.885,-0.073,自律,综合偏差
pjwtqxbj932,0.858,0.052,自律,综合偏差
pjwtqxbj933,0.932,0.023,自律,综合偏差
pjwtqxbj935,0.886,-0.107,自律,综合偏差
pjwtqxbj939,0.894,0.067,自律,综合偏差
pjwtqxbj941,0.934,-0.045,自律,综合偏差
pjwtqxbj942,1.0,0.107,自律,行为轨迹发生显著漂移
pjwtqxbj943,1.0,0.118,自律,行为轨迹发生显著漂移
pjwtqxbj944,0.851,-0.059,自律,综合偏差
pjwtqxbj946,0.967,0.02,自律,综合偏差
pjwtqxbj947,0.986,0.099,自律,综合偏差
pjwtqxbj950,0.95,0.076,自律,综合偏差
pjwtqxbj952,0.855,0.006,自律,综合偏差
pjwtqxbj953,1.0,0.115,自律,行为轨迹发生显著漂移
pjwtqxbj954,0.821,-0.046,稳健,综合偏差
pjwtqxbj957,0.852,-0.006,自律,综合偏差
pjwtqxbj960,0.835,0.019,自律,综合偏差
pjwtqxbj965,0.932,-0.031,自律,综合偏差
pjwtqxbj967,0.848,-0.082,自律,综合偏差
pjwtqxbj968,0.917,0.038,自律,综合偏差
pjwtqxbj969,0.946,0.011,自律,综合偏差
pjwtqxbj971,1.0,0.096,自律,综合偏差
pjwtqxbj972,0.925,-0.051,自律,综合偏差
pjwtqxbj974,0.855,-0.111,自律,综合偏差
pjwtqxbj977,0.961,0.059,自律,综合偏差
pjwtqxbj979,1.0,0.095,自律,综合偏差
pjwtqxbj982,0.825,-0.13,自律,综合偏差
pjwtqxbj983,0.835,-0.006,自律,综合偏差
pjwtqxbj984,1.0,0.112,自律,行为轨迹发生显著漂移
pjwtqxbj985,0.833,-0.108,自律,综合偏差
pjwtqxbj987,0.909,0.037,自律,综合偏差
pjwtqxbj988,0.831,-0.137,自律,综合偏差
pjwtqxbj993,0.871,0.017,自律,综合偏差
pjwtqxbj998,0.837,-0.059,自律,综合偏差
pjwtzxbj996,0.985,0.112,自律,行为轨迹发生显著漂移
pjwuzxbj992,0.922,-0.044,自律,综合偏差
pjwuzxbj995,0.857,0.052,自律,综合偏差
pjxpqxbj911,1.0,0.098,自律,综合偏差
pjxpqxbj912,0.833,-0.044,自律,综合偏差
pjxpqxbj914,0.831,-0.051,自律,综合偏差
pjxpqxbj915,0.919,-0.145,自律,综合偏差
pjxpqxbj916,0.923,-0.095,自律,综合偏差
pjxpqxbj919,1.0,0.109,自律,行为轨迹发生显著漂移
pjxpqxbj920,0.805,-0.124,自律,综合偏差
pjxpqxbj924,1.0,0.109,自律,行为轨迹发生显著漂移
pjxpqxbj925,0.969,0.088,自律,综合偏差
pjxpqxbj926,1.0,0.089,自律,综合偏差
pjxpqxbj927,0.875,0.017,自律,综合偏差
pjxpqxbj933,0.928,-0.068,自律,综合偏差
pjxpqxbj934,0.966,0.057,自律,综合偏差
pjxpqxbj937,0.926,-0.051,自律,综合偏差
pjxpqxbj941,1.0,0.084,自律,综合偏差
pjxpqxbj944,0.927,-0.113,自律,综合偏差
pjxpqxbj945,0.928,-0.016,自律,综合偏差
pjxpqxbj954,0.844,-0.089,自律,综合偏差
