,Evaluation_vector.csv,Graduate_vector.csv,Portrait_vector.csv,Scholarship_vector.csv,Tags_vector.csv,atten_vector_data.xlsx,dorm_vector_data.xlsx,run_vector_data.xlsx,student_behavior_vector.xlsx,体测数据_特征轨迹_vector.xlsx,体育课_特征向量_vector.xlsx,体能_vector_variable.csv,作业提交_vector_composite.csv,四六级_特征向量_vector.xlsx,图书馆_特征轨迹_vector.xlsx,基本信息_vector_variable.csv,学生签到_特征向量.csv,学科竞赛_vector_composite.csv,学籍异动_vector_composite.csv,成绩_vector_variable.csv,日常锻炼_vector.xlsx,社团活动_特征向量_vector.xlsx,线上学习_vector_composite.csv,讨论记录_特征向量_vector.xlsx,选课_vector_variable.csv,cluster
200307700011,-1.8988357731254981,-7.754229444058704,-1.5229818758516311,-1.040367023705426,-1.963858522909727,-0.12252316215187661,-0.039726706583261565,-4.512407574863531,-0.29157719576628566,-3.544731672659047,-2.0407359048856843,-2.7853773401187825,-2.795982059324773,0.31840527083732517,3.113082178802985,0.9881696844776663,-2.4276644848763036,-0.613131532665435,-0.023112033126248908,-0.028074454456642067,-5.064520690126071,-2.031016472242844,-1.4285571933873644,-2.2617717017671426,-4.165749225139432,3
pjvyzvfj974,-0.46922362616720326,0.11656242307655203,-1.4462839099129003,0.6335637060213304,-1.963858522909727,-0.12252316215187661,-0.039726706583261565,-4.512407574863531,-1.4399780880678288,-3.544731672659047,-2.0407359048856843,-2.7853773401187825,-2.795982059324773,0.48253083059919577,-0.47939191112537816,0.16204207361256168,-2.2530128660558097,0.681466483740603,-0.023112033126248908,0.7030086957059665,-5.064520690126071,-2.031016472242844,0.12862746300405306,0.2716385165929571,-5.303224331130369,3
pjvyzvfj977,0.8137616339235744,0.11656242307655203,-1.0397846904376273,-1.040367023705426,-1.963858522909727,-0.12252316215187661,-0.039726706583261565,-4.512407574863531,-1.4399780880678288,-3.544731672659047,-2.0407359048856843,-2.7853773401187825,-2.795982059324773,-4.577193519771351,-0.47939191112537816,0.16204207361256168,-2.707107074989093,0.681466483740603,-0.023112033126248908,-1.5783623844889596,-5.064520690126071,-2.031016472242844,0.12862746300405306,0.24146709462498248,-4.666256002278682,3
pjvyzvfj989,-1.2023580605047905,0.12045115423620428,-1.6676123259075233,-0.03600858586937225,-1.963858522909727,-0.12252316215187661,-0.039726706583261565,-4.463967868000165,-1.4399780880678288,-3.544731672659047,-2.0407359048856843,-2.7853773401187825,-2.795982059324773,-4.577193519771351,-0.47939191112537816,0.16204207361256168,-3.0913406363941784,-0.613131532665435,-0.023112033126248908,1.3182282216240546,-5.064520690126071,-2.031016472242844,0.12862746300405306,-2.2617717017671426,-4.997373150262128,3
pjvyzvfj994,1.8768065637130757,0.12045115423620428,-1.551469691771731,-0.03600858586937225,-1.963858522909727,-0.12252316215187661,-0.039726706583261565,-4.318648747410069,-1.4399780880678288,-3.544731672659047,-2.0407359048856843,-2.7853773401187825,-2.795982059324773,0.31840527083732517,-0.47939191112537816,0.36857397632883715,-2.287943189819909,-0.613131532665435,-0.023112033126248908,-1.5032958110347634,-5.064520690126071,-2.031016472242844,0.12862746300405306,0.24146709462498248,-4.273229847153309,3
pjvyzvfj998,0.5571645819054186,0.12045115423620428,-1.644602936125904,-1.040367023705426,-1.963858522909727,-0.12252316215187661,-0.039726706583261565,-4.463967868000165,-1.4399780880678288,-3.544731672659047,-2.0407359048856843,-2.7853773401187825,-2.795982059324773,0.633135749282286,-0.47939191112537816,0.31694100064976827,-2.7769677225172904,-0.613131532665435,-0.023112033126248908,-0.272856759198587,-5.064520690126071,-2.031016472242844,0.12862746300405306,-2.2617717017671426,-4.688293540262499,3
pjvyzxbj993,0.8504183556404535,0.12433988539585653,0.32434341804408373,-1.040367023705426,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,-1.0247486807012354,-0.4829773444832094,0.036056045866265055,-1.6633426718337598,0.08978413069597467,0.5410841438133951,-1.503876687891735,1.7825362195702579,0.16204207361256168,-0.9605908867841587,-0.613131532665435,-0.023112033126248908,-1.4661704948155683,0.7486876026195387,-2.031016472242844,0.7685663628909369,0.24146709462498248,-0.9136934945954204,3
pjvyzxbj995,0.8870750773573328,0.1321173477151597,-0.37579944245375835,-0.03600858586937225,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,-0.7341104395210442,-1.4399780880678288,-0.41154241894939897,-1.6004437996584393,0.6648164248589261,0.5407648989838593,-1.6625564338857637,-0.47939191112537816,0.16204207361256168,-0.43663603032267856,-0.613131532665435,-0.023112033126248908,-1.3335800797470148,0.9536404590945446,0.532712001655853,0.7685663628909369,0.24146709462498248,-0.9399217582539202,3
pjvyzxbj997,-1.4222983908060667,0.1321173477151597,1.3564789025338604,1.3031359979120332,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.4284425251997209,-0.8657776419170571,-0.859140883765063,-1.3593314563197099,0.6648164248589261,0.540871313927038,0.47445600328825754,-0.47939191112537816,-0.04448982910371471,-2.602316103696797,3.0352810590243084,-0.023112033126248908,1.366442918012619,0.14418018756194667,0.8175707209779304,-1.4285571933873644,-2.2617717017671426,-0.5828275739259596,3
pjvyzxbj998,1.510239346544282,0.12822861655550746,-0.017510372997116185,-1.040367023705426,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.4768822320630865,-0.10017704704936173,-0.41154241894939897,-0.7153668126199979,-0.10189330069167564,0.0396143655784929,-1.572606613375539,-0.47939191112537816,0.9365367087985974,0.22704012119519631,-0.613131532665435,-0.02163115088423327,-1.5911843147373472,0.28495588695892077,1.2733446718932542,0.12862746300405306,0.39232420446485555,-0.6016265347427711,3
