student_id,cluster,Strength,Risk,Report
200307700011,3,图书馆_特征轨迹_vector.xlsx,Graduate_vector.csv,"属于3类。强项:图书馆_特征轨迹_vector.xlsx, 风险:Graduate_vector.csv。"
pjvyzvfj974,3,成绩_vector_variable.csv,选课_vector_variable.csv,"属于3类。强项:成绩_vector_variable.csv, 风险:选课_vector_variable.csv。"
pjvyzvfj977,3,Evaluation_vector.csv,日常锻炼_vector.xlsx,"属于3类。强项:Evaluation_vector.csv, 风险:日常锻炼_vector.xlsx。"
pjvyzvfj989,3,成绩_vector_variable.csv,日常锻炼_vector.xlsx,"属于3类。强项:成绩_vector_variable.csv, 风险:日常锻炼_vector.xlsx。"
pjvyzvfj994,3,Evaluation_vector.csv,日常锻炼_vector.xlsx,"属于3类。强项:Evaluation_vector.csv, 风险:日常锻炼_vector.xlsx。"
pjvyzvfj998,3,四六级_特征向量_vector.xlsx,日常锻炼_vector.xlsx,"属于3类。强项:四六级_特征向量_vector.xlsx, 风险:日常锻炼_vector.xlsx。"
pjvyzxbj993,3,图书馆_特征轨迹_vector.xlsx,社团活动_特征向量_vector.xlsx,"属于3类。强项:图书馆_特征轨迹_vector.xlsx, 风险:社团活动_特征向量_vector.xlsx。"
pjvyzxbj995,3,日常锻炼_vector.xlsx,四六级_特征向量_vector.xlsx,"属于3类。强项:日常锻炼_vector.xlsx, 风险:四六级_特征向量_vector.xlsx。"
pjvyzxbj997,3,学科竞赛_vector_composite.csv,学生签到_特征向量.csv,"属于3类。强项:学科竞赛_vector_composite.csv, 风险:学生签到_特征向量.csv。"
pjvyzxbj998,3,Evaluation_vector.csv,成绩_vector_variable.csv,"属于3类。强项:Evaluation_vector.csv, 风险:成绩_vector_variable.csv。"
pjwqzwbj998,3,日常锻炼_vector.xlsx,run_vector_data.xlsx,"属于3类。强项:日常锻炼_vector.xlsx, 风险:run_vector_data.xlsx。"
pjwrqxbj882,3,student_behavior_vector.xlsx,Evaluation_vector.csv,"属于3类。强项:student_behavior_vector.xlsx, 风险:Evaluation_vector.csv。"
pjwrqxbj884,3,学科竞赛_vector_composite.csv,Evaluation_vector.csv,"属于3类。强项:学科竞赛_vector_composite.csv, 风险:Evaluation_vector.csv。"
pjwrqxbj890,3,Portrait_vector.csv,Evaluation_vector.csv,"属于3类。强项:Portrait_vector.csv, 风险:Evaluation_vector.csv。"
pjwrqxbj898,3,基本信息_vector_variable.csv,社团活动_特征向量_vector.xlsx,"属于3类。强项:基本信息_vector_variable.csv, 风险:社团活动_特征向量_vector.xlsx。"
pjwrqxbj901,3,基本信息_vector_variable.csv,Tags_vector.csv,"属于3类。强项:基本信息_vector_variable.csv, 风险:Tags_vector.csv。"
pjwrqxbj905,3,atten_vector_data.xlsx,成绩_vector_variable.csv,"属于3类。强项:atten_vector_data.xlsx, 风险:成绩_vector_variable.csv。"
pjwrqxbj911,3,基本信息_vector_variable.csv,Portrait_vector.csv,"属于3类。强项:基本信息_vector_variable.csv, 风险:Portrait_vector.csv。"
pjwrqxbj913,3,基本信息_vector_variable.csv,选课_vector_variable.csv,"属于3类。强项:基本信息_vector_variable.csv, 风险:选课_vector_variable.csv。"
pjwrqxbj916,3,学科竞赛_vector_composite.csv,体育课_特征向量_vector.xlsx,"属于3类。强项:学科竞赛_vector_composite.csv, 风险:体育课_特征向量_vector.xlsx。"
pjwrqxbj918,3,基本信息_vector_variable.csv,体能_vector_variable.csv,"属于3类。强项:基本信息_vector_variable.csv, 风险:体能_vector_variable.csv。"
pjwrqxbj919,3,atten_vector_data.xlsx,体能_vector_variable.csv,"属于3类。强项:atten_vector_data.xlsx, 风险:体能_vector_variable.csv。"
pjwrqxbj920,3,线上学习_vector_composite.csv,讨论记录_特征向量_vector.xlsx,"属于3类。强项:线上学习_vector_composite.csv, 风险:讨论记录_特征向量_vector.xlsx。"
pjwrqxbj923,3,图书馆_特征轨迹_vector.xlsx,Scholarship_vector.csv,"属于3类。强项:图书馆_特征轨迹_vector.xlsx, 风险:Scholarship_vector.csv。"
pjwrqxbj924,3,基本信息_vector_variable.csv,Tags_vector.csv,"属于3类。强项:基本信息_vector_variable.csv, 风险:Tags_vector.csv。"
pjwrqxbj925,3,学科竞赛_vector_composite.csv,体测数据_特征轨迹_vector.xlsx,"属于3类。强项:学科竞赛_vector_composite.csv, 风险:体测数据_特征轨迹_vector.xlsx。"
pjwrqxbj926,3,学生签到_特征向量.csv,Scholarship_vector.csv,"属于3类。强项:学生签到_特征向量.csv, 风险:Scholarship_vector.csv。"
pjwrqxbj929,3,Tags_vector.csv,student_behavior_vector.xlsx,"属于3类。强项:Tags_vector.csv, 风险:student_behavior_vector.xlsx。"
pjwrqxbj932,3,线上学习_vector_composite.csv,体育课_特征向量_vector.xlsx,"属于3类。强项:线上学习_vector_composite.csv, 风险:体育课_特征向量_vector.xlsx。"
pjwrqxbj935,3,线上学习_vector_composite.csv,体能_vector_variable.csv,"属于3类。强项:线上学习_vector_composite.csv, 风险:体能_vector_variable.csv。"
pjwrqxbj938,3,体育课_特征向量_vector.xlsx,讨论记录_特征向量_vector.xlsx,"属于3类。强项:体育课_特征向量_vector.xlsx, 风险:讨论记录_特征向量_vector.xlsx。"
pjwrqxbj944,3,基本信息_vector_variable.csv,讨论记录_特征向量_vector.xlsx,"属于3类。强项:基本信息_vector_variable.csv, 风险:讨论记录_特征向量_vector.xlsx。"
pjwrqxbj945,3,体测数据_特征轨迹_vector.xlsx,社团活动_特征向量_vector.xlsx,"属于3类。强项:体测数据_特征轨迹_vector.xlsx, 风险:社团活动_特征向量_vector.xlsx。"
pjwrqxbj948,3,基本信息_vector_variable.csv,讨论记录_特征向量_vector.xlsx,"属于3类。强项:基本信息_vector_variable.csv, 风险:讨论记录_特征向量_vector.xlsx。"
pjwrqxbj949,3,学生签到_特征向量.csv,体能_vector_variable.csv,"属于3类。强项:学生签到_特征向量.csv, 风险:体能_vector_variable.csv。"
pjwrqxbj951,3,学科竞赛_vector_composite.csv,讨论记录_特征向量_vector.xlsx,"属于3类。强项:学科竞赛_vector_composite.csv, 风险:讨论记录_特征向量_vector.xlsx。"
pjwrqxbj952,3,体育课_特征向量_vector.xlsx,社团活动_特征向量_vector.xlsx,"属于3类。强项:体育课_特征向量_vector.xlsx, 风险:社团活动_特征向量_vector.xlsx。"
pjwrqxbj955,3,基本信息_vector_variable.csv,Scholarship_vector.csv,"属于3类。强项:基本信息_vector_variable.csv, 风险:Scholarship_vector.csv。"
pjwrqxbj956,3,学生签到_特征向量.csv,体育课_特征向量_vector.xlsx,"属于3类。强项:学生签到_特征向量.csv, 风险:体育课_特征向量_vector.xlsx。"
pjwrqxbj965,3,Scholarship_vector.csv,体测数据_特征轨迹_vector.xlsx,"属于3类。强项:Scholarship_vector.csv, 风险:体测数据_特征轨迹_vector.xlsx。"
pjwrqxbj967,3,学科竞赛_vector_composite.csv,Evaluation_vector.csv,"属于3类。强项:学科竞赛_vector_composite.csv, 风险:Evaluation_vector.csv。"
pjwrqxbj973,3,图书馆_特征轨迹_vector.xlsx,四六级_特征向量_vector.xlsx,"属于3类。强项:图书馆_特征轨迹_vector.xlsx, 风险:四六级_特征向量_vector.xlsx。"
pjwrqxbj974,3,基本信息_vector_variable.csv,学科竞赛_vector_composite.csv,"属于3类。强项:基本信息_vector_variable.csv, 风险:学科竞赛_vector_composite.csv。"
pjwrqxbj977,3,Portrait_vector.csv,Scholarship_vector.csv,"属于3类。强项:Portrait_vector.csv, 风险:Scholarship_vector.csv。"
pjwrqxbj978,3,线上学习_vector_composite.csv,讨论记录_特征向量_vector.xlsx,"属于3类。强项:线上学习_vector_composite.csv, 风险:讨论记录_特征向量_vector.xlsx。"
pjwrqxbj979,3,student_behavior_vector.xlsx,讨论记录_特征向量_vector.xlsx,"属于3类。强项:student_behavior_vector.xlsx, 风险:讨论记录_特征向量_vector.xlsx。"
pjwrqxbj980,3,体测数据_特征轨迹_vector.xlsx,体能_vector_variable.csv,"属于3类。强项:体测数据_特征轨迹_vector.xlsx, 风险:体能_vector_variable.csv。"
pjwrqxbj983,3,student_behavior_vector.xlsx,Portrait_vector.csv,"属于3类。强项:student_behavior_vector.xlsx, 风险:Portrait_vector.csv。"
pjwrqxbj984,3,基本信息_vector_variable.csv,student_behavior_vector.xlsx,"属于3类。强项:基本信息_vector_variable.csv, 风险:student_behavior_vector.xlsx。"
pjwrqxbj985,3,Tags_vector.csv,Evaluation_vector.csv,"属于3类。强项:Tags_vector.csv, 风险:Evaluation_vector.csv。"
pjwrqxbj988,3,学科竞赛_vector_composite.csv,Evaluation_vector.csv,"属于3类。强项:学科竞赛_vector_composite.csv, 风险:Evaluation_vector.csv。"
pjwrqxbj991,3,学科竞赛_vector_composite.csv,讨论记录_特征向量_vector.xlsx,"属于3类。强项:学科竞赛_vector_composite.csv, 风险:讨论记录_特征向量_vector.xlsx。"
pjwrqxbj992,3,线上学习_vector_composite.csv,Portrait_vector.csv,"属于3类。强项:线上学习_vector_composite.csv, 风险:Portrait_vector.csv。"
pjwrqxbj993,3,Scholarship_vector.csv,Evaluation_vector.csv,"属于3类。强项:Scholarship_vector.csv, 风险:Evaluation_vector.csv。"
pjwrqxbj994,3,基本信息_vector_variable.csv,体育课_特征向量_vector.xlsx,"属于3类。强项:基本信息_vector_variable.csv, 风险:体育课_特征向量_vector.xlsx。"
